#{"t_start": 1691653022.79223, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
75.0,1209,1146.617262
230.0,1961,1149.610912
140.0,1983,1152.343182
95.0,1441,1154.461806
255.0,1981,1157.534935
130.0,1759,1160.440536
85.0,1211,1162.004663
480.0,2991,1166.218774
290.0,2797,1170.283766
95.0,1389,1172.582749
55.0,1283,1174.561533
220.0,2317,1177.908509
190.0,1747,1180.349405
130.0,1903,1182.900179
160.0,2873,1186.898756
120.0,1409,1188.880749
120.0,1959,1191.513457
175.0,1445,1193.629539
140.0,1351,1195.441688
20.0,1165,1197.278697
65.0,1277,1198.95532
35.0,1527,1200.880127
155.0,1709,1203.538498
105.0,1275,1205.110319
85.0,1211,1206.820461
110.0,1369,1208.540411
45.0,1475,1210.590358
135.0,1743,1212.89024
240.0,2277,1215.84938
35.0,1419,1218.055566
55.0,1309,1219.772392
185.0,1785,1222.351323
380.0,2681,1226.010703
460.0,2293,1228.994374
50.0,1795,1231.594124
140.0,2453,1235.055742
165.0,1893,1237.642611
250.0,2431,1240.928458
70.0,1089,1242.697236
90.0,1995,1245.393785
140.0,1411,1247.444405
190.0,1991,1250.020478
125.0,1903,1252.974445
405.0,2469,1256.206311
335.0,3271,1260.692256
65.0,1847,1263.30093
25.0,949,1264.79465
80.0,1337,1266.632833
270.0,2965,1270.39277
95.0,1513,1272.563365
125.0,1445,1274.383596
195.0,2515,1282.8549
310.0,2791,1286.886274
75.0,1935,1290.01882
90.0,1887,1292.436794
245.0,2711,1296.419281
290.0,2813,1300.702379
105.0,1713,1302.867588
320.0,2999,1307.215874
165.0,1595,1309.161673
380.0,2602,1312.723267
140.0,1459,1315.052917
135.0,1413,1316.838408
350.0,1911,1319.885799
105.0,1149,1321.429146
105.0,1581,1323.887643
95.0,1175,1325.460436
145.0,1551,1327.686114
185.0,1831,1330.109376
95.0,1671,1332.617276
210.0,2017,1335.132448
485.0,2857,1339.235882
95.0,2117,1342.381116
110.0,1145,1343.966074
305.0,2464,1347.703288
115.0,1047,1349.105922
90.0,1609,1351.247803
40.0,1181,1352.957291
420.0,2683,1356.466723
55.0,1107,1358.11465
190.0,2119,1360.873135
125.0,1795,1363.099441
150.0,1817,1365.874565
65.0,2301,1368.920668
210.0,3317,1373.586098
100.0,1985,1376.255953
180.0,1997,1379.076625
365.0,2647,1382.666258
215.0,2387,1385.853457
130.0,3465,1390.820201
155.0,1899,1393.888268
395.0,4813,1400.253405
275.0,3455,1405.123347
200.0,2237,1407.969853
125.0,1909,1410.623052
135.0,2025,1413.723317
70.0,1515,1415.721969
295.0,3301,1420.398621
385.0,3231,1425.17604
345.0,2817,1436.077159
145.0,2277,1439.122777
170.0,1895,1441.711063
185.0,1933,1444.246864
215.0,2755,1447.772049
320.0,2463,1450.974446
200.0,2899,1455.027475
130.0,1895,1457.662365
475.0,2607,1461.294544
305.0,3022,1465.363
180.0,2067,1468.58955
275.0,2901,1472.693572
310.0,2852,1476.561879
210.0,1829,1479.086123
135.0,1961,1481.926732
160.0,1889,1484.407649
205.0,1939,1486.993962
130.0,1493,1489.150666
130.0,1765,1491.191209
305.0,2914,1495.120901
295.0,2835,1498.962556
95.0,1535,1500.9741
90.0,1815,1503.389093
355.0,2713,1507.100198
160.0,1921,1509.565954
470.0,3269,1514.00244
120.0,1853,1516.369914
170.0,1751,1518.852806
405.0,2943,1522.85893
275.0,2275,1525.7944
230.0,2139,1529.023672
195.0,3189,1533.49394
295.0,3079,1537.747181
270.0,2697,1541.515781
435.0,3133,1546.190309
230.0,2861,1550.21884
240.0,2727,1553.93827
175.0,2135,1557.112277
465.0,2613,1560.473669
325.0,3155,1564.87849
425.0,2961,1568.972334
250.0,2203,1572.16371
110.0,1007,1573.344004
80.0,1433,1579.644449
535.0,3009,1583.835541
285.0,2623,1587.357728
345.0,2939,1591.42233
80.0,1565,1593.590857
345.0,2729,1597.51686
90.0,1185,1598.832053
105.0,1587,1600.949184
205.0,1947,1603.665766
900.0,4345,1610.117034
305.0,3419,1614.791795
90.0,1063,1616.166143
125.0,1757,1618.78109
410.0,3353,1623.313895
